REGION;ESPECE_FR;nb_essais
NORD-PAS-DE-CALAIS;Colza;81
CENTRE;Blé dur/Orge;68
CENTRE;Colza;57
MIDI-PYRÉNÉES;Tournesol;40
CHAMPAGNE-ARDENNE;Colza;34
MIDI-PYRÉNÉES;Triticale;33
BRETAGNE;Triticale;23
MIDI-PYRÉNÉES;Colza;19
CHAMPAGNE-ARDENNE;Blé dur/Orge;11
LIMOUSIN;Triticale;8
PAYS DE LA LOIRE;Triticale;8
RHÔNE-ALPES;Tournesol;6
CENTRE;Tournesol;6
PICARDIE;Colza;5
BOURGOGNE;Tournesol;5
ALSACE;Tournesol;4
PICARDIE;Blé dur/Orge;3
AQUITAINE;Tournesol;3
TOLNA;Tournesol;3
NORD-PAS-DE-CALAIS;Triticale;3
BARANYA;Tournesol;2
BOURGOGNE;Blé dur/Orge;2
ÎLE-DE-FRANCE;Colza;2
POITOU-CHARENTES;Blé dur/Orge;2
BRETAGNE;Colza;1
GYOR-MOSON-SOPRON;Tournesol;1
